id,name,symbol,mass,chinese
1,Hydrogen,H,1.007,氢
2,Helium,He,4.002,氦
3,Lithium,Li,6.941,锂
4,Beryllium,Be,9.012,铍
5,Boron,B,10.811,硼
6,Carbon,C,12.011,碳
7,Nitrogen,N,14.007,氮
8,Oxygen,O,15.999,氧
9,Fluorine,F,18.998,氟
10,Neon,Ne,20.18,氖
11,Sodium,Na,22.99,钠
12,Magnesium,Mg,24.305,镁
13,Aluminum,Al,26.982,铝
14,Silicon,Si,28.086,硅
15,Phosphorus,P,30.974,磷
16,Sulfur,S,32.065,硫
17,Chlorine,Cl,35.453,氯
18,Argon,Ar,39.948,氩
19,Potassium,K,39.098,钾
20,Calcium,Ca,40.078,钙
21,Scandium,Sc,44.956,钪
22,Titanium,Ti,47.867,钛
23,Vanadium,V,50.942,钒
24,Chromium,Cr,51.996,铬
25,Manganese,Mn,54.938,锰
26,Iron,Fe,55.845,铁
27,Cobalt,Co,58.933,钴
28,Nickel,Ni,58.693,镍
29,Copper,Cu,63.546,铜
30,Zinc,Zn,65.38,锌
31,Gallium,Ga,69.723,镓
32,Germanium,Ge,72.64,锗
33,Arsenic,As,74.922,砷
34,Selenium,Se,78.96,硒
35,Bromine,Br,79.904,溴
36,Krypton,Kr,83.798,氪
37,Rubidium,Rb,85.468,铷
38,Strontium,Sr,87.62,锶
39,Yttrium,Y,88.906,钇
40,Zirconium,Zr,91.224,锆
41,Niobium,Nb,92.906,铌
42,Molybdenum,Mo,95.96,钼
43,Technetium,Tc,98,锝
44,Ruthenium,Ru,101.07,钌
45,Rhodium,Rh,102.906,铑
46,Palladium,Pd,106.42,钯
47,Silver,Ag,107.868,银
48,Cadmium,Cd,112.411,镉
49,Indium,In,114.818,铟
50,Tin,Sn,118.71,锡
51,Antimony,Sb,121.76,锑
52,Tellurium,Te,127.6,碲
53,Iodine,I,126.904,碘
54,Xenon,Xe,131.293,氙
55,Cesium,Cs,132.905,铯
56,Barium,Ba,137.327,钡
57,Lanthanum,La,138.905,镧
58,Cerium,Ce,140.116,铈
59,Praseodymium,Pr,140.908,镨
60,Neodymium,Nd,144.242,钕
61,Promethium,Pm,145,钷
62,Samarium,Sm,150.36,钐
63,Europium,Eu,151.964,铕
64,Gadolinium,Gd,157.25,钆
65,Terbium,Tb,158.925,铽
66,Dysprosium,Dy,162.5,镝
67,Holmium,Ho,164.93,钬
68,Erbium,Er,167.259,铒
69,Thulium,Tm,168.934,铥
70,Ytterbium,Yb,173.054,镱
71,Lutetium,Lu,174.967,镥
72,Hafnium,Hf,178.49,铪
73,Tantalum,Ta,180.948,钽
74,Wolfram,W,183.84,钨
75,Rhenium,Re,186.207,铼
76,Osmium,Os,190.23,锇
77,Iridium,Ir,192.217,铱
78,Platinum,Pt,195.084,铂
79,Gold,Au,196.967,金
80,Mercury,Hg,200.59,汞
81,Thallium,Tl,204.383,铊
82,Lead,Pb,207.2,铅
83,Bismuth,Bi,208.98,铋
84,Polonium,Po,210,钋
85,Astatine,At,210,砹
86,Radon,Rn,222,氡
87,Francium,Fr,223,钫
88,Radium,Ra,226,镭
89,Actinium,Ac,227,锕
90,Thorium,Th,232.038,钍
91,Protactinium,Pa,231.036,镤
92,Uranium,U,238.029,铀
93,Neptunium,Np,237,镎
94,Plutonium,Pu,244,钚
95,Americium,Am,243,镅
96,Curium,Cm,247,锔
97,Berkelium,Bk,247,锫
98,Californium,Cf,251,锎
99,Einsteinium,Es,252,锿
100,Fermium,Fm,257,镄
101,Mendelevium,Md,258,钔
102,Nobelium,No,259,锘
103,Lawrencium,Lr,262,铹
104,Rutherfordium,Rf,261,
105,Dubnium,Db,262,
106,Seaborgium,Sg,266,
107,Bohrium,Bh,264,
108,Hassium,Hs,267,
109,Meitnerium,Mt,268,
110,Darmstadtium ,Ds ,271,
111,Roentgenium ,Rg ,272,
112,Copernicium ,Cn ,285,
113,Nihonium,Nh,284,
114,Flerovium,Fl,289,
115,Moscovium,Mc,288,
116,Livermorium,Lv,292,
117,Tennessine,Ts,295,
118,Oganesson,Og,294,
